iter	MultiClass
139	0.6436471594
140	0.6423001577
141	0.6410274743
142	0.6399807989
143	0.6390953239
144	0.6375719301
145	0.6353835426
146	0.6333323484
147	0.6323298236
148	0.6307957704
149	0.6295784584
150	0.6280453371
151	0.6261658486
152	0.625339268
153	0.6246414754
154	0.6233039137
155	0.6215223061
156	0.6206328243
157	0.6198448407
158	0.6184112569
159	0.6179674099
160	0.6165136146
161	0.6151045017
162	0.6140045476
163	0.6126167913
164	0.6121615879
165	0.6106247992
166	0.6093430872
167	0.6079115377
168	0.6070992007
169	0.6057541893
170	0.6043197917
171	0.6030681345
172	0.6017920658
173	0.600740641
174	0.599296265
175	0.5988241367
176	0.5978873243
177	0.5969381525
178	0.5958646512
179	0.5946917315
180	0.593671151
181	0.5926330368
182	0.5915218827
183	0.5908843925
184	0.5904817227
185	0.5893062932
186	0.5889742126
187	0.5877260866
188	0.5863220849
189	0.5849868303
190	0.5835393475
191	0.5823401411
192	0.58168615
193	0.5809467931
194	0.5798863325
195	0.5792705057
196	0.5785491326
197	0.5774814875
198	0.5764625898
199	0.5758491463
200	0.5747818555
201	0.5738391038
202	0.5730366533
203	0.5718183502
204	0.5710346264
205	0.5705428208
206	0.57005239
207	0.5697772292
208	0.5694491833
209	0.5691168436
210	0.568286642
211	0.5673413393
212	0.566724167
213	0.5656365343
214	0.564659091
215	0.563819216
216	0.56285522
217	0.5618608743
218	0.5615575874
219	0.5606908636
220	0.5599611368
221	0.5590179646
222	0.5582935053
223	0.5571760135
224	0.5565424491
225	0.5559741578
226	0.5553495208
227	0.5543527633
228	0.5536247236
229	0.5530686904
230	0.5525157322
231	0.5513500795
232	0.5507733405
233	0.5500731657
234	0.5493960061
235	0.5488539216
236	0.5480013963
237	0.5476345601
238	0.5468528287
239	0.5463447508
240	0.5454719114
241	0.5451637172
242	0.5444725489
243	0.5437121677
244	0.5432370352
245	0.5424611525
246	0.5421642865
247	0.5411740498
248	0.5406409843
249	0.5402209089
250	0.5400575585
251	0.5395824769
252	0.5393569423
253	0.5384770272
254	0.5381733075
255	0.537321397
256	0.5365291707
257	0.5361612664
258	0.5355710778
259	0.534951628
260	0.5344104264
261	0.5337144323
262	0.5329787293
263	0.5322556286
264	0.5314602729
265	0.5311447794
266	0.5306038146
267	0.5298752105
268	0.5292239377
269	0.5287924853
270	0.528188284
271	0.5275910629
272	0.5269830031
273	0.526427599
274	0.5261610041
275	0.5254888329
276	0.5247897405
277	0.5242916838
278	0.5239804903
279	0.5234813247
280	0.5233268519
281	0.5231592736
282	0.522701441
283	0.5220731165
284	0.5218712073
285	0.5212501087
286	0.5207943831
287	0.5203744811
288	0.5199375996
289	0.5194649211
290	0.5188449367
291	0.5181533201
292	0.5177618944
293	0.5171852999
294	0.5167114386
295	0.516120957
296	0.5155356796
297	0.5153339335
298	0.5150169201
299	0.5146117019
300	0.5139480384
301	0.5132789258
302	0.5128859582
303	0.5126385857
304	0.5122332737
305	0.5116609333
306	0.5112384591
307	0.51069162
308	0.5104715926
309	0.5099354408
310	0.5095048315
311	0.5088877516
312	0.5085269334
313	0.5081640222
314	0.5076815775
315	0.507204472
316	0.5068599853
317	0.5064810201
318	0.5059887488
319	0.5055571978
320	0.505061403
321	0.5045333845
322	0.5043920275
323	0.5039407626
324	0.5036231142
325	0.5032269037
326	0.502788228
327	0.5025173045
328	0.5020299732
329	0.5017706316
330	0.5013014297
331	0.5008077863
332	0.5003895849
333	0.5000631286
334	0.4996109396
335	0.4994461062
336	0.4992269219
337	0.4987445128
338	0.4982414291
339	0.497834803
340	0.497612878
341	0.4974285395
342	0.497051414
343	0.4966661263
344	0.4961855905
345	0.4958776128
346	0.49571171
347	0.4954928709
348	0.4952868847
349	0.4949643008
350	0.4948030384
351	0.4946758685
352	0.4943438397
353	0.4941574767
354	0.4938910838
355	0.4934521172
356	0.4931171736
357	0.4929355966
358	0.4925249333
359	0.4922610681
360	0.491829842
361	0.4916399335
362	0.491297385
363	0.4910575863
364	0.4909251341
365	0.4905999992
366	0.4902342284
367	0.4898175923
368	0.4894572403
369	0.4891063668
370	0.4888240144
371	0.4885023205
372	0.4881981014
373	0.4878464175
374	0.4875643013
375	0.4874536063
376	0.4873529899
377	0.4869253673
378	0.486532093
379	0.4862466963
380	0.4859367794
381	0.4858338175
382	0.4854911916
383	0.4851937802
384	0.484970606
385	0.4847423449
386	0.4846035957
387	0.4845057916
388	0.4842208444
389	0.4838239117
390	0.4836492193
391	0.4835179214
392	0.4832182587
393	0.4828877575
394	0.4827459211
395	0.4824190829
396	0.482119087
397	0.4818375208
398	0.481469071
399	0.4812659653
400	0.4809856648
401	0.4806841023
402	0.4805754493
403	0.4802950136
404	0.4800247858
405	0.4796900097
406	0.4793863374
407	0.4792398848
408	0.4791536367
409	0.478900981
410	0.4786617195
411	0.4784300581
412	0.4782322551
413	0.4781386113
414	0.4778383705
415	0.4777596982
416	0.4775522676
417	0.4772013589
418	0.4771022434
419	0.4768800335
420	0.4764794835
421	0.4762428647
422	0.4760178258
423	0.475778562
424	0.4753736344
425	0.4752063319
426	0.4749391988
427	0.4746263288
428	0.4743850877
429	0.4741585109
430	0.4738883535
431	0.4737211349
432	0.4736487068
433	0.4734422056
434	0.473077059
435	0.4730081883
436	0.4727605288
437	0.4725815845
438	0.4724953049
439	0.4724062881
440	0.4721881961
441	0.4719073415
442	0.4717646642
443	0.4717025287
444	0.4713548147
445	0.4710566585
446	0.4709926991
447	0.4707452316
448	0.4704812719
449	0.4702670829
450	0.4700183071
451	0.4697226302
452	0.4694323407
453	0.469084354
454	0.4688178407
455	0.4686737401
456	0.4684530004
457	0.4683192549
458	0.4680501855
459	0.4677423743
460	0.467466431
461	0.4672779659
462	0.4672157173
463	0.4669320699
464	0.4666118706
465	0.4663934428
466	0.4663171606
467	0.4661206545
468	0.4658955629
469	0.4655885678
470	0.4653582544
471	0.4652513573
472	0.4649185611
473	0.4647319234
474	0.4644198327
475	0.4640603111
476	0.4639746571
477	0.4637598924
478	0.4634939304
479	0.4632356629
480	0.4629817616
481	0.4627778822
482	0.4625698531
483	0.4623677929
484	0.4622331416
485	0.4619630469
486	0.4616617793
487	0.4613245575
488	0.4611215663
489	0.4609454284
490	0.4608702668
491	0.4606397657
492	0.4605699237
493	0.4604031652
494	0.4603349843
495	0.4601663349
496	0.4599263699
497	0.4597857631
498	0.4595527191
499	0.4593745323
500	0.4590520821
501	0.4588855704
502	0.4586090851
503	0.4585469968
504	0.4583032643
505	0.4580900476
506	0.4579692357
507	0.4577842092
508	0.4575125553
509	0.4574283066
510	0.457234058
511	0.4569794452
512	0.4568005682
513	0.4565951948
514	0.4563867746
515	0.4560878891
516	0.4558768479
517	0.4557170014
518	0.4555950145
519	0.455500356
520	0.4552462386
521	0.4550297901
522	0.4548574655
523	0.4546389662
524	0.4544033494
525	0.4543101816
526	0.4541645476
527	0.4540014716
528	0.4539329506
529	0.4537323012
530	0.4535974269
531	0.4534039707
532	0.4532223743
533	0.4530167377
534	0.4528230737
535	0.4526395838
536	0.4524473356
537	0.4523390276
538	0.4521595421
539	0.4520526015
540	0.4517753053
541	0.4515249338
542	0.4514660878
543	0.4513017718
544	0.4512206808
545	0.451176058
546	0.4510691879
547	0.4508772765
548	0.4507373295
549	0.4505574932
550	0.450474222
551	0.4503965209
552	0.4501858812
553	0.4501441917
554	0.4499678045
555	0.4499166392
556	0.4497504074
557	0.4495819733
558	0.4494455419
559	0.449357261
560	0.4492212406
561	0.449004823
562	0.4489632543
563	0.4487758862
564	0.4486772642
565	0.4485074528
566	0.4482534975
567	0.4480433083
568	0.4479630111
569	0.4478443834
570	0.4476594009
571	0.4475034677
572	0.4472814119
573	0.4472297127
574	0.4471403572
575	0.4469281854
576	0.4467856429
577	0.4466838769
578	0.4465625815
579	0.4463608906
580	0.4461591102
581	0.4459507229
582	0.4458431069
583	0.4456222088
584	0.4455421521
585	0.4453368151
586	0.4452340456
587	0.4451922895
588	0.4449627393
589	0.4448579451
590	0.4446902194
591	0.4445513597
592	0.4444419915
593	0.4443986692
594	0.4443296164
595	0.4442059558
596	0.4441419632
597	0.4440982074
598	0.4440453638
599	0.4438993593
600	0.4437149271
601	0.4435832466
602	0.4434657817
603	0.4433159841
604	0.4431289698
605	0.4429716468
606	0.4428493168
607	0.4426508517
608	0.4424843766
609	0.4423221329
610	0.4422350131
611	0.4420755444
612	0.441941261
613	0.4418535753
614	0.441742575
615	0.441614645
616	0.4413415997
617	0.4411404496
618	0.4410925396
619	0.4409479386
620	0.4407865285
621	0.4405676549
622	0.4405069713
623	0.4404084214
624	0.4402630422
625	0.4401075803
626	0.4400044865
627	0.4398669369
628	0.4396553462
629	0.4395487083
630	0.4393968032
631	0.4393596858
632	0.4391909969
633	0.4390512365
634	0.4388513529
635	0.438668695
636	0.4385935632
637	0.4384757914
638	0.4383731715
639	0.4382658964
640	0.4381251923
641	0.4379832501
642	0.4378561261
643	0.4376982598
644	0.4376068048
645	0.437557794
646	0.4374598843
647	0.4374035455
648	0.4373538519
649	0.4372531127
650	0.4371807372
651	0.4371099671
652	0.4369299508
653	0.4368139042
654	0.4366524831
655	0.4366105717
656	0.4364304363
657	0.4363030353
658	0.4362232459
659	0.4360791282
660	0.4359425931
661	0.4358220815
662	0.4356516333
663	0.435615588
664	0.4355557264
665	0.4354105714
666	0.4352610683
667	0.4350992744
668	0.4350649711
669	0.4349462656
670	0.4348616259
671	0.4346624688
672	0.4346270115
673	0.4344644034
674	0.4343140769
675	0.4341708691
676	0.434132524
677	0.4339750281
678	0.4338763005
679	0.4338246361
680	0.4337112414
681	0.4335725289
682	0.433406399
683	0.4332713975
684	0.4331960559
685	0.4331470806
686	0.4330960169
687	0.4330515705
688	0.4328915565
689	0.4327725263
690	0.4327306958
691	0.4326270179
692	0.4324854309
693	0.432423772
694	0.4323912266
695	0.4323028617
696	0.4322443766
697	0.4320768796
698	0.4319331983
699	0.4317942059
700	0.4317489528
701	0.4315892503
702	0.4314448817
703	0.4312635865
704	0.4311664287
705	0.431108792
706	0.4310509932
707	0.4310231439
708	0.4308800275
709	0.4307497295
710	0.4306185601
711	0.430540848
712	0.4303796938
713	0.4302023892
714	0.4301696937
715	0.4300580405
716	0.4300237385
717	0.4299772916
718	0.4298453927
719	0.4297420076
720	0.4297169422
721	0.429637622
722	0.4295492497
723	0.4293743831
724	0.4292808714
725	0.4291194845
726	0.4290212139
727	0.4289602182
728	0.4288042979
729	0.4286536479
730	0.4285315731
731	0.4284881569
732	0.4283184056
733	0.428250654
734	0.4281520882
735	0.4280107035
736	0.4279408765
737	0.4278198212
738	0.427782776
739	0.4277274467
740	0.4275774878
741	0.4274383539
742	0.4273116112
743	0.4272852149
744	0.4272013101
745	0.4270673428
746	0.4270153301
747	0.4269595422
748	0.4268818207
749	0.4267925057
750	0.4267090943
751	0.4266708481
752	0.4266435415
753	0.4265888671
754	0.4265112656
755	0.4264492336
756	0.4263184714
757	0.4262016311
758	0.4261535925
759	0.4260757394
760	0.4260436268
761	0.4258756939
762	0.42582075
763	0.4257234671
764	0.4255871891
765	0.4254880615
766	0.4254036773
767	0.4253045858
768	0.4252651675
769	0.4252119112
770	0.4250772206
771	0.4250189848
772	0.4249724513
773	0.4248585819
774	0.4247809657
775	0.4246054903
776	0.4245064335
777	0.4244466189
778	0.424389003
779	0.4243619598
780	0.4242541452
781	0.4241793173
782	0.424096044
783	0.4240489629
784	0.4239654943
785	0.4238698125
786	0.4237831327
787	0.4236531192
788	0.4236249229
789	0.4234655046
790	0.4233668872
791	0.4232981277
792	0.4231730044
793	0.4230641018
794	0.4229760858
795	0.4228412508
796	0.4227286018
797	0.4225782533
798	0.4224814146
799	0.4223256644
800	0.4221732084
801	0.4221268336
802	0.4220031322
803	0.4219349288
804	0.4217828657
805	0.4216524256
806	0.4214814869
807	0.4214268859
808	0.4213829307
809	0.4213468511
810	0.4213130642
811	0.4212054683
812	0.4211856536
813	0.4211317423
814	0.4210034991
815	0.4209514894
816	0.4208525738
817	0.4207442792
818	0.420687951
819	0.420647878
820	0.4205950098
821	0.420467965
822	0.4204423786
823	0.420407021
824	0.4202863063
825	0.4201646056
826	0.420132967
827	0.4200032646
828	0.4198533537
829	0.4197807164
830	0.4196866311
831	0.4195745537
832	0.4195156905
833	0.4193710724
834	0.4192723707
835	0.419126023
836	0.4190907054
837	0.4190413423
838	0.4188928373
839	0.418856352
840	0.418738822
841	0.4186861122
842	0.4186122698
843	0.418573809
844	0.4184702308
845	0.4183609663
846	0.4183180043
847	0.4182943144
848	0.4181880552
849	0.4181275382
850	0.4180407147
851	0.4180077401
852	0.4179427115
853	0.4178490678
854	0.4177119365
855	0.4176532322
856	0.4175833081
857	0.4174450849
858	0.4173773614
859	0.4173422269
860	0.4173056548
861	0.4172569208
862	0.4171820396
863	0.4170922655
864	0.4169884703
865	0.416925511
866	0.4168137796
867	0.416767123
868	0.4166921109
869	0.4166329535
870	0.4164957444
871	0.4164076038
872	0.4163145327
873	0.4162687439
874	0.4161849172
875	0.4161341082
876	0.4160848056
877	0.4159606068
878	0.4159105864
879	0.4158416519
880	0.4157253226
881	0.4156771778
882	0.4155726883
883	0.4154867702
884	0.4154244972
885	0.4154013681
886	0.4153092507
887	0.4152264669
888	0.4151207306
889	0.4150249831
890	0.4149298292
891	0.414900753
892	0.4148786591
893	0.4148003162
894	0.4147746084
895	0.4147266381
896	0.414650013
897	0.4145811533
898	0.4144953357
899	0.4144027078
900	0.414338022
901	0.4142605605
902	0.4141769826
903	0.4140617249
904	0.4139431495
905	0.4139010098
906	0.4138577807
907	0.4138073153
908	0.4136676196
909	0.4135522387
910	0.4135288818
911	0.4134142691
912	0.4133395112
913	0.4132822498
914	0.4131794903
915	0.4130960467
916	0.4130323279
917	0.4129599791
918	0.4128536197
919	0.4127908239
920	0.412724197
921	0.4126551614
922	0.4125539436
923	0.412428384
924	0.412352591
925	0.4123307593
926	0.4122676364
927	0.4122419976
928	0.4121768682
929	0.412048633
930	0.411984099
931	0.4119611299
932	0.4119413942
933	0.4118988994
934	0.4118533499
935	0.411834303
936	0.4117264823
937	0.4116056469
938	0.4115391967
939	0.4114762324
940	0.4114037167
941	0.4113081467
942	0.411191719
943	0.4111191205
944	0.4110643066
945	0.410969762
946	0.4109511699
947	0.4108628359
948	0.4108055991
949	0.4107227901
950	0.410692653
951	0.4106241654
952	0.410538782
953	0.4104638471
954	0.4104335143
955	0.4104062548
956	0.4103087644
957	0.4102512239
958	0.4102155402
959	0.4101996354
960	0.4101678819
961	0.4101259719
962	0.4100745816
963	0.4100086697
964	0.4099137748
965	0.4098595692
966	0.4097981259
967	0.4097722303
968	0.4097129385
969	0.4096669749
970	0.4096018175
971	0.4095170789
972	0.4094935182
973	0.4094303204
974	0.4093710651
975	0.4092879058
976	0.4092282998
977	0.4091937662
978	0.4091733806
979	0.409098616
980	0.4090272095
981	0.4090052298
982	0.408863543
983	0.4087459906
984	0.4086557037
985	0.40860905
986	0.4084806211
987	0.4084267202
988	0.4083684638
989	0.4083432178
990	0.408292868
991	0.4082320977
992	0.4081738858
993	0.4081248675
994	0.4080597419
995	0.4080156541
996	0.4079962844
997	0.4079177951
998	0.4078803505
999	0.4078410594
